[INFO 2017-07-27 23:10:12,743 demo.py:145] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, bidirection=False, data='box', display=False, fg_noise=0.1, image_size=32, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=1, motion_type='translation', num_frame=3, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', test=False, test_epoch=10, test_gt=False, test_interval=100, train=True, train_epoch=1000)
[INFO 2017-07-27 23:10:14,785 demo.py:63] epoch 0, train loss: 21353.33, average train loss: 21353.33, base loss: 2312.34
[INFO 2017-07-27 23:10:15,015 demo.py:63] epoch 1, train loss: 19808.91, average train loss: 20581.12, base loss: 2134.18
[INFO 2017-07-27 23:10:15,241 demo.py:63] epoch 2, train loss: 17834.93, average train loss: 19665.72, base loss: 2171.64
[INFO 2017-07-27 23:10:15,467 demo.py:63] epoch 3, train loss: 16274.37, average train loss: 18817.88, base loss: 2242.84
[INFO 2017-07-27 23:10:15,692 demo.py:63] epoch 4, train loss: 15357.97, average train loss: 18125.90, base loss: 2277.04
[INFO 2017-07-27 23:10:15,918 demo.py:63] epoch 5, train loss: 14341.04, average train loss: 17495.09, base loss: 2278.35
[INFO 2017-07-27 23:10:16,149 demo.py:63] epoch 6, train loss: 13564.91, average train loss: 16933.64, base loss: 2265.02
[INFO 2017-07-27 23:10:16,377 demo.py:63] epoch 7, train loss: 12382.05, average train loss: 16364.69, base loss: 2291.16
[INFO 2017-07-27 23:10:16,609 demo.py:63] epoch 8, train loss: 11019.57, average train loss: 15770.79, base loss: 2284.04
[INFO 2017-07-27 23:10:16,848 demo.py:63] epoch 9, train loss: 10168.75, average train loss: 15210.58, base loss: 2303.13
[INFO 2017-07-27 23:10:17,094 demo.py:63] epoch 10, train loss: 9453.84, average train loss: 14687.24, base loss: 2286.81
[INFO 2017-07-27 23:10:17,337 demo.py:63] epoch 11, train loss: 8431.98, average train loss: 14165.97, base loss: 2281.63
[INFO 2017-07-27 23:10:17,580 demo.py:63] epoch 12, train loss: 7561.49, average train loss: 13657.93, base loss: 2296.27
[INFO 2017-07-27 23:10:17,823 demo.py:63] epoch 13, train loss: 6805.90, average train loss: 13168.50, base loss: 2291.03
[INFO 2017-07-27 23:10:18,066 demo.py:63] epoch 14, train loss: 5659.34, average train loss: 12667.89, base loss: 2296.36
[INFO 2017-07-27 23:10:18,310 demo.py:63] epoch 15, train loss: 5170.64, average train loss: 12199.31, base loss: 2284.69
[INFO 2017-07-27 23:10:18,558 demo.py:63] epoch 16, train loss: 4411.69, average train loss: 11741.22, base loss: 2267.67
[INFO 2017-07-27 23:10:18,801 demo.py:63] epoch 17, train loss: 4012.65, average train loss: 11311.85, base loss: 2258.34
[INFO 2017-07-27 23:10:19,044 demo.py:63] epoch 18, train loss: 3850.35, average train loss: 10919.14, base loss: 2272.78
[INFO 2017-07-27 23:10:19,287 demo.py:63] epoch 19, train loss: 3499.28, average train loss: 10548.15, base loss: 2273.93
[INFO 2017-07-27 23:10:19,532 demo.py:63] epoch 20, train loss: 3087.88, average train loss: 10192.90, base loss: 2267.23
[INFO 2017-07-27 23:10:19,775 demo.py:63] epoch 21, train loss: 2848.15, average train loss: 9859.05, base loss: 2253.67
[INFO 2017-07-27 23:10:20,019 demo.py:63] epoch 22, train loss: 2975.38, average train loss: 9559.76, base loss: 2258.47
[INFO 2017-07-27 23:10:20,263 demo.py:63] epoch 23, train loss: 2592.28, average train loss: 9269.45, base loss: 2248.91
[INFO 2017-07-27 23:10:20,509 demo.py:63] epoch 24, train loss: 2766.17, average train loss: 9009.31, base loss: 2253.17
[INFO 2017-07-27 23:10:20,753 demo.py:63] epoch 25, train loss: 2529.42, average train loss: 8760.09, base loss: 2251.78
[INFO 2017-07-27 23:10:20,996 demo.py:63] epoch 26, train loss: 2608.21, average train loss: 8532.24, base loss: 2256.13
[INFO 2017-07-27 23:10:21,241 demo.py:63] epoch 27, train loss: 2356.59, average train loss: 8311.68, base loss: 2252.59
[INFO 2017-07-27 23:10:21,484 demo.py:63] epoch 28, train loss: 2435.84, average train loss: 8109.07, base loss: 2254.65
[INFO 2017-07-27 23:10:21,728 demo.py:63] epoch 29, train loss: 2324.71, average train loss: 7916.25, base loss: 2253.02
[INFO 2017-07-27 23:10:21,974 demo.py:63] epoch 30, train loss: 2462.81, average train loss: 7740.34, base loss: 2258.40
[INFO 2017-07-27 23:10:22,221 demo.py:63] epoch 31, train loss: 2263.83, average train loss: 7569.20, base loss: 2258.61
[INFO 2017-07-27 23:10:22,471 demo.py:63] epoch 32, train loss: 2165.91, average train loss: 7405.46, base loss: 2256.31
[INFO 2017-07-27 23:10:22,717 demo.py:63] epoch 33, train loss: 2607.72, average train loss: 7264.35, base loss: 2269.87
[INFO 2017-07-27 23:10:22,963 demo.py:63] epoch 34, train loss: 2151.35, average train loss: 7118.26, base loss: 2269.47
[INFO 2017-07-27 23:10:23,212 demo.py:63] epoch 35, train loss: 2048.64, average train loss: 6977.44, base loss: 2266.40
[INFO 2017-07-27 23:10:23,459 demo.py:63] epoch 36, train loss: 2037.96, average train loss: 6843.94, base loss: 2264.65
[INFO 2017-07-27 23:10:23,706 demo.py:63] epoch 37, train loss: 2224.06, average train loss: 6722.37, base loss: 2268.42
[INFO 2017-07-27 23:10:23,954 demo.py:63] epoch 38, train loss: 2447.01, average train loss: 6612.74, base loss: 2279.93
[INFO 2017-07-27 23:10:24,203 demo.py:63] epoch 39, train loss: 2188.95, average train loss: 6502.15, base loss: 2283.21
[INFO 2017-07-27 23:10:24,452 demo.py:63] epoch 40, train loss: 1922.20, average train loss: 6390.44, base loss: 2278.42
[INFO 2017-07-27 23:10:24,697 demo.py:63] epoch 41, train loss: 2192.67, average train loss: 6290.49, base loss: 2283.20
[INFO 2017-07-27 23:10:24,944 demo.py:63] epoch 42, train loss: 1800.24, average train loss: 6186.07, base loss: 2276.53
[INFO 2017-07-27 23:10:25,193 demo.py:63] epoch 43, train loss: 1791.59, average train loss: 6086.19, base loss: 2270.68
[INFO 2017-07-27 23:10:25,440 demo.py:63] epoch 44, train loss: 2184.65, average train loss: 5999.49, base loss: 2275.26
[INFO 2017-07-27 23:10:25,689 demo.py:63] epoch 45, train loss: 2106.60, average train loss: 5914.87, base loss: 2277.91
[INFO 2017-07-27 23:10:25,939 demo.py:63] epoch 46, train loss: 1993.04, average train loss: 5831.42, base loss: 2278.73
[INFO 2017-07-27 23:10:26,190 demo.py:63] epoch 47, train loss: 2145.37, average train loss: 5754.63, base loss: 2283.50
[INFO 2017-07-27 23:10:26,438 demo.py:63] epoch 48, train loss: 2162.84, average train loss: 5681.33, base loss: 2287.93
[INFO 2017-07-27 23:10:26,686 demo.py:63] epoch 49, train loss: 2003.10, average train loss: 5607.76, base loss: 2288.38
[INFO 2017-07-27 23:10:26,932 demo.py:63] epoch 50, train loss: 1854.72, average train loss: 5534.17, base loss: 2285.92
[INFO 2017-07-27 23:10:27,177 demo.py:63] epoch 51, train loss: 2063.54, average train loss: 5467.43, base loss: 2288.34
